Accession ID	Collection date	Submission date	Location
EPI_ISL_18002658	2019-03-27	2020-05-06	South America / Brazil
EPI_ISL_18002691	2016-07-25	2020-05-12	South America / Brazil
EPI_ISL_18002705	2016-01-14	2016-03-16	South America / Brazil
EPI_ISL_18002706	2016-01-29	2016-03-16	South America / Brazil
EPI_ISL_18002709	2015-05-13	2017-06-14	South America / Brazil / Pernambuco
EPI_ISL_18002827	2016-05-05	2018-09-07	South America / Brazil
EPI_ISL_18002828	2016-04-19	2018-09-07	South America / Brazil
EPI_ISL_18002829	2016-04-19	2018-09-07	South America / Brazil
EPI_ISL_18002830	2016-07-27	2018-09-07	South America / Brazil
EPI_ISL_18002831	2016-07-19	2018-09-07	South America / Brazil
EPI_ISL_18002832	2016-07-12	2018-09-07	South America / Brazil
EPI_ISL_18002833	2016-07-05	2018-09-07	South America / Brazil
EPI_ISL_18002834	2016-06-28	2018-09-07	South America / Brazil
EPI_ISL_18002835	2016-06-16	2018-09-07	South America / Brazil
EPI_ISL_18002836	2016-06-08	2018-09-07	South America / Brazil
EPI_ISL_18002837	2016-06-03	2018-09-07	South America / Brazil
EPI_ISL_18002838	2016-05-12	2018-09-07	South America / Brazil
EPI_ISL_18002840	2016-05-24	2018-09-07	South America / Brazil
EPI_ISL_18002841	2016-04-26	2018-09-07	South America / Brazil
EPI_ISL_18002842	2016-05-17	2018-09-07	South America / Brazil
EPI_ISL_18002843	2016-05-10	2018-09-07	South America / Brazil
EPI_ISL_18002844	2016-04-26	2018-09-07	South America / Brazil
EPI_ISL_18002845	2016-05-03	2018-09-07	South America / Brazil
EPI_ISL_18002846	2016-05-19	2018-09-07	South America / Brazil
EPI_ISL_18002847	2016-05-24	2018-09-07	South America / Brazil
EPI_ISL_18002848	2016-06-02	2018-09-07	South America / Brazil
EPI_ISL_18002856	2016-04-30	2018-09-07	South America / Brazil
EPI_ISL_18002858	2016-06-09	2018-09-07	South America / Brazil
EPI_ISL_18002896	2015-07-15	2016-03-18	South America / Brazil
EPI_ISL_18002899	2015-08-01	2016-03-18	South America / Brazil
EPI_ISL_18002909	2015-07-01	2016-03-18	South America / Brazil
EPI_ISL_18002917	2016-06-14	2016-09-01	South America / Brazil
EPI_ISL_18002953	2016-01-08	2017-02-17	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002961	2016-02-10	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002962	2016-02-02	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002963	2016-02-10	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002964	2016-01-25	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002965	2016-01-29	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002966	2016-01-05	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002967	2016-01-25	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002968	2016-01-23	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002969	2016-01-30	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002970	2016-01-20	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002971	2016-01-14	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002972	2016-01-25	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002973	2016-01-14	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002974	2016-01-26	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002975	2015-12-16	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002976	2017-03-24	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002977	2016-02-15	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002978	2017-03-22	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002979	2016-02-11	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002980	2017-04-27	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002981	2017-04-26	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002982	2016-05-16	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002983	2016-04-25	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002984	2016-04-26	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002985	2016-04-08	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002986	2016-04-05	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002987	2016-04-05	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002988	2016-04-05	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002989	2016-03-01	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002990	2016-02-29	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002991	2016-03-02	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002992	2016-03-01	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002993	2016-02-02	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002994	2016-02-03	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002995	2016-03-15	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002996	2016-03-18	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002998	2016-03-10	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002999	2016-02-10	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003000	2016-02-10	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003001	2016-01-08	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003002	2016-02-19	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003003	2016-01-29	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003004	2016-02-10	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003005	2016-02-02	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003006	2016-02-19	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003007	2017-03-20	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003008	2017-03-27	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003009	2016-04-01	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003010	2016-04-06	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003011	2015-12-08	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003012	2015-12-15	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003013	2016-03-31	2021-11-09	South America / Brazil / Goias / Goiania
EPI_ISL_18003014	2016-04-01	2021-11-09	South America / Brazil / Goias / Goiania
EPI_ISL_18003015	2016-04-24	2021-11-09	South America / Brazil / Goias / Goiania
EPI_ISL_18003016	2016-02-22	2021-11-09	South America / Brazil / Goias / Goiania
EPI_ISL_18003017	2017-06-01	2021-11-09	South America / Brazil / Goias / Inhumas
EPI_ISL_18003018	2017-11-23	2021-11-09	South America / Brazil / Goias / Aparecida de Goiania
EPI_ISL_18003019	2017-12-07	2021-11-09	South America / Brazil / Goias / Aparecida de Goiania
EPI_ISL_18003020	2017-01-02	2021-11-09	South America / Brazil / Goias / Goiania
EPI_ISL_18003021	2017-01-20	2021-11-09	South America / Brazil / Goias / Goiania
EPI_ISL_18003022	2017-02-23	2021-11-09	South America / Brazil / Goias / Goiania
EPI_ISL_18003023	2016-07-20	2021-11-09	South America / Brazil / Goias / Goianira
EPI_ISL_18003024	2018-04-18	2021-11-09	South America / Brazil / Goias / Aparecida de Goiania
EPI_ISL_18003025	2017-03-08	2021-11-09	South America / Brazil / Goias / Goiania
EPI_ISL_18003026	2018-01-26	2021-11-09	South America / Brazil / Goias / Aparecida de Goiania
EPI_ISL_18003027	2018-03-26	2021-11-09	South America / Brazil / Goias / Goiatuba
EPI_ISL_18003028	2018-03-23	2021-11-09	South America / Brazil / Goias / Goiatuba
EPI_ISL_18003029	2017-03-17	2021-11-09	South America / Brazil / Goias / Goiania
EPI_ISL_18003030	2017-03-28	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003031	2016-02-22	2021-11-09	South America / Brazil / Goias / Goiania
EPI_ISL_18003032	2017-03-27	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003033	2017-03-28	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003034	2017-03-29	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003035	2017-04-07	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003036	2016-06-02	2021-11-09	South America / Brazil / Goias / Aparecida de Goiania
EPI_ISL_18003037	2017-06-30	2021-11-09	South America / Brazil / Goias / Aparecida de Goiania
EPI_ISL_18003038	2017-03-20	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003039	2016-05-01	2021-11-09	South America / Brazil / Goias / Goiania
EPI_ISL_18003040	2016-04-20	2021-11-09	South America / Brazil / Goias / Goiania
EPI_ISL_18003041	2015-12-15	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003043	2016-02-01	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18003044	2016-04-29	2021-11-09	South America / Brazil / Goias / Jatai
EPI_ISL_18003269	2016-05-10	2020-10-16	South America / Brazil
EPI_ISL_18003270	2016-06-16	2020-10-16	South America / Brazil
EPI_ISL_18003271	2016-05-07	2020-10-16	South America / Brazil
EPI_ISL_18003273	2016-04-26	2020-10-16	South America / Brazil
EPI_ISL_18003685	2015-09-01	2016-05-03	South America / Brazil
EPI_ISL_18003693	2016-03-24	2020-05-06	South America / Brazil
EPI_ISL_18003694	2016-04-11	2020-05-06	South America / Brazil
EPI_ISL_18003695	2016-04-05	2020-05-06	South America / Brazil
EPI_ISL_18003696	2016-03-21	2020-05-06	South America / Brazil
EPI_ISL_18003697	2016-04-06	2020-05-06	South America / Brazil
EPI_ISL_18003698	2016-03-18	2020-05-06	South America / Brazil
EPI_ISL_18003699	2016-04-06	2020-05-06	South America / Brazil
EPI_ISL_18003700	2016-04-12	2020-05-06	South America / Brazil
EPI_ISL_18003701	2016-04-14	2020-05-06	South America / Brazil
EPI_ISL_18003702	2016-04-20	2020-05-06	South America / Brazil
EPI_ISL_18003794	2016-02-01	2017-05-09	South America / Brazil
EPI_ISL_18003795	2015-06-01	2017-05-09	South America / Brazil
EPI_ISL_18003820	2017-06-29	2020-02-18	South America / Brazil
EPI_ISL_18003899	2015-07-01	2016-02-11	South America / Brazil
EPI_ISL_18003900	2016-02-29	2017-01-11	South America / Brazil
EPI_ISL_18003901	2016-04-05	2017-01-11	South America / Brazil
EPI_ISL_18003902	2016-01-11	2017-01-11	South America / Brazil
EPI_ISL_18003903	2017-03-03	2018-01-09	South America / Brazil
EPI_ISL_18003904	2017-03-03	2018-01-09	South America / Brazil
EPI_ISL_18003905	2017-03-03	2018-01-09	South America / Brazil
EPI_ISL_18003906	2017-01-26	2018-01-09	South America / Brazil
EPI_ISL_18004069	2016-04-08	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004074	2016-03-14	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004077	2016-04-08	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004078	2016-04-14	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004084	2016-03-22	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004088	2016-04-12	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004101	2016-03-30	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004102	2016-03-27	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004104	2016-03-23	2016-10-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004114	2016-04-06	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004117	2016-04-04	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004118	2016-03-30	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004119	2016-04-15	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004126	2016-03-21	2016-10-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004127	2016-04-18	2016-10-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004131	2016-04-05	2016-10-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004135	2016-03-28	2016-10-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004136	2016-03-23	2016-10-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004137	2016-03-28	2016-10-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004143	2016-04-13	2016-10-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004147	2016-05-10	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004157	2016-04-01	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004169	2016-03-30	2017-03-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004173	2016-04-12	2016-10-20	South America / Brazil / Rio de Janeiro
EPI_ISL_18004315	2015-12-01	2016-05-05	South America / Brazil
EPI_ISL_18004316	2016-03-01	2016-09-09	South America / Brazil
EPI_ISL_18004317	2015-11-30	2016-01-06	South America / Brazil
EPI_ISL_18004389	2017-11-11	2019-06-25	South America / Brazil
EPI_ISL_18004395	2015-12-09	2018-06-21	South America / Brazil / Mato Grosso / Sinop
EPI_ISL_18004396	2015-12-11	2018-06-21	South America / Brazil / Mato Grosso / Sinop
EPI_ISL_18004397	2015-12-11	2018-06-21	South America / Brazil / Mato Grosso / Sinop
EPI_ISL_18004398	2016-03-13	2017-02-01	South America / Brazil / Tocantins / Palmas
EPI_ISL_18004399	2016-03-22	2017-02-01	South America / Brazil / Tocantins / Palmas
EPI_ISL_18004401	2016-01-15	2017-02-01	South America / Brazil / Rio de Janeiro
EPI_ISL_18004402	2016-01-15	2017-02-01	South America / Brazil / Rio de Janeiro
EPI_ISL_18004403	2016-02-16	2017-02-01	South America / Brazil / Rio de Janeiro
EPI_ISL_18004405	2016-03-10	2017-02-01	South America / Brazil / Tocantins / Palmas
EPI_ISL_18004406	2016-03-03	2017-02-01	South America / Brazil / Tocantins / Palmas
EPI_ISL_18004407	2016-03-07	2017-02-01	South America / Brazil / Tocantins / Palmas
EPI_ISL_18004408	2016-04-16	2017-02-01	South America / Brazil / Bahia
EPI_ISL_18004409	2016-02-25	2017-02-01	South America / Brazil / Tocantins / Porto Nacional
EPI_ISL_18004413	2015-02-23	2017-02-01	South America / Brazil / Rio Grande do Norte
EPI_ISL_18004414	2016-01-15	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004415	2016-01-19	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004416	2016-01-06	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004417	2016-01-18	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004418	2016-01-18	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004419	2015-05-13	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004420	2015-05-13	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004421	2015-05-14	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004422	2015-06-15	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004423	2016-07-10	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004424	2015-08-09	2017-02-01	South America / Brazil / Pernambuco
EPI_ISL_18004425	2015-08-20	2017-02-01	South America / Brazil / Alagoas
EPI_ISL_18004426	2015-09-09	2017-02-01	South America / Brazil / Alagoas
EPI_ISL_18004427	2016-05-19	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004428	2016-04-25	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004429	2016-04-24	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004430	2016-04-24	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004431	2016-04-24	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004432	2016-04-19	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004433	2016-05-24	2017-02-01	South America / Brazil / Tocantins / Araguaina
EPI_ISL_18004434	2016-04-19	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004435	2016-04-19	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004436	2016-04-19	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004437	2016-04-18	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004438	2016-04-18	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004439	2016-04-18	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004440	2015-08-28	2017-02-01	South America / Brazil / Alagoas
EPI_ISL_18004441	2016-04-19	2017-02-01	South America / Brazil / Sao Paulo
EPI_ISL_18004506	2016-10-10	2017-05-05	South America / Brazil
EPI_ISL_18004507	2016-11-11	2017-05-05	South America / Brazil
EPI_ISL_18004508	2016-03-05	2017-05-05	South America / Brazil
EPI_ISL_18004509	2016-03-05	2017-05-05	South America / Brazil
EPI_ISL_18004510	2016-07-07	2017-05-05	South America / Brazil
EPI_ISL_18004511	2016-06-05	2017-05-05	South America / Brazil
EPI_ISL_18004512	2016-06-05	2017-05-05	South America / Brazil
EPI_ISL_18004538	2016-02-12	2016-11-30	South America / Brazil
EPI_ISL_18059199	2018-04-25	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059200	2018-04-23	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059201	2018-04-21	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059202	2018-04-21	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059203	2018-04-21	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059204	2018-04-20	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059205	2018-04-20	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059206	2018-04-17	2023-08-02	South America / Brazil / Amazonas
